market_segment,total_hectares
Tomato EAF MS01184,1730
Rice Indica SEA MS00602,1439
Millet Pearl SAF MS00925,1357
Tomato EAF MS01178,1298
Chickpea Desi SAF MS00686,1288
Sorghum SAF MS01113,1238
Tomato EAF MS01179,993
Cassava Waxy LAC MS00902,942
Tomato EAF MS01183,927
Rice Indica NAF MS00578,915
Beans CAF MS00771,912
Beans CAF MS00782,912
Rice Indica EAF MS00616,893
Soybean EAF MS00218,881
Soybean WAF MS00231,847
Tomato EAF MS01171,750
Rice Temperate japonica EAF MS00933,697
Rice Indica SEA MS00580,583
Tomato EAF MS01173,583
Pepper Habanero WAF MS01215,540
Chickpea Desi SAF MS00693,422
Rice Indica EAF MS00600,408
Rice Indica SEA MS00585,305
Chickpea Kabuli SAF MS00688,278
Tomato EAF MS01180,265
Pepper Chilli EAF MS01207,235
Tomato EAF MS01181,199
Tomato EAF MS01185,199
Tomato EAF MS01186,199
Rice Indica SEA MS00562,181
Rice Indica SA MS00589,174
Rice Indica SEA MS00615,174
Pepper Chilli EAF MS01203,155
Chickpea Kabuli SAF MS00994,126
Rice Indica SEA MS00569,106
Pepper Sweet EAF MS01195,47
Rice Indica SEA MS00608,43
Rice Indica SEA MS00620,38
Rice Indica SEA MS00571,32
Rice Indica SEA MS00606,19
Maize SAF MS00352,0
Maize SAF MS00353,0
Maize SA MS00357,0
Maize SA MS00358,0
Maize LAC MS00365,0
Maize EAF MS00370,0
Maize EAF MS00371,0
Pigeonpea SA MS00447,0
Pigeonpea SA MS00448,0
Rice Indica SA MS00910,0
