style,tpp_id,CropName,GermplasmType,TPPID,TPPShortName,TPPInternalName,Organisation,TPPLead,Status,Scope,BreedingEffort,Tier,BPShortName,BPLongName,BreedingTeam,TeamLead,MSShortName,TPPDescription,Cost,TPPDateCreated,TPPDateLastEdited
,346,Sorghum,No Germplasm Type,TPP01053,Sorghum EAF ICRISAT TPP01053,-,ICRISAT,Bright Jumbo,Funded,CGIAR,Category 1: Full,-,Sorghum ICRISAT BP00180,BP2,ICRISAT-SA-Sorghum Breeding,-,Sorghum EAF MS00665,-,-,"March 23, 2026","March 23, 2026"
,347,Sorghum,No Germplasm Type,TPP01054,Sorghum EAF ICRISAT TPP01054,-,ICRISAT,Bright Jumbo,Funded,CGIAR,Category 1: Full,-,Sorghum ICRISAT BP00180,BP2,ICRISAT-SA-Sorghum Breeding,-,Sorghum EAF MS00661,-,-,"March 23, 2026","March 23, 2026"
,348,Sorghum,No Germplasm Type,TPP01055,Sorghum EAF ICRISAT TPP01055,-,ICRISAT,Bright Jumbo,Funded,CGIAR,Category 1: Full,-,Sorghum ICRISAT BP00180,BP2,ICRISAT-SA-Sorghum Breeding,-,Sorghum EAF MS00672,-,-,"March 23, 2026","March 23, 2026"
,349,Sorghum,No Germplasm Type,TPP01056,Sorghum EAF ICRISAT TPP01056,-,ICRISAT,Bright Jumbo,Funded,CGIAR,Category 1: Full,-,Sorghum ICRISAT BP00180,BP2,ICRISAT-SA-Sorghum Breeding,-,Sorghum EAF MS00663,-,-,"March 23, 2026","March 23, 2026"
,350,Sorghum,No Germplasm Type,TPP01057,Sorghum EAF ICRISAT TPP01057,-,ICRISAT,Bright Jumbo,Funded,CGIAR,Category 4: Late Testing,-,Sorghum ICRISAT BP00180,BP2,ICRISAT-SA-Sorghum Breeding,-,Sorghum EAF MS00667,-,-,"March 23, 2026","March 23, 2026"
,351,Sorghum,No Germplasm Type,TPP00437,Sorghum SA ICRISAT TPP00437,-,ICRISAT,Ephrem Habyarimana,Funded,CGIAR,Category 1: Full,-,Sorghum ICRISAT BP00180,BP2,ICRISAT-SA-Sorghum Breeding,-,Sorghum SA MS01124,Early maturity (<105 days) hybrids for rainy season,-,"August 19, 2024","October 31, 2025"
,331,Sorghum,No Germplasm Type,TPP00438,Sorghum SA ICRISAT TPP00438,-,ICRISAT,Ephrem Habyarimana,Funded,CGIAR,Category 1: Full,-,Sorghum ICRISAT BP00174,BP1,ICRISAT-SA-Sorghum Breeding,-,Sorghum SA MS00972,Early maturity (<110 days) non-hybrids for Post-rainy season.,-,"August 20, 2024","October 31, 2025"
,335,Sorghum,No Germplasm Type,TPP00875,Sorghum SA ICRISAT TPP00875,-,ICRISAT,Ephrem Habyarimana,Funded,CGIAR,Category 1: Full,-,Sorghum ICRISAT BP00176,BP3,ICRISAT-SA-Sorghum Breeding,-,Sorghum SA MS01123,Multi-cut hybrids of Forage sorghum,-,"July 02, 2025","October 31, 2025"
,310,Sorghum,No Germplasm Type,TPP00389,Sorghum SAF CIMMYT TPP00389,-,CIMMYT,Tamerlane Nas,Funded,CGIAR,Category 4: Late Testing,-,Sorghum CIMMYT BP00148,EWS,ADCIN ESA sorghum breeding workgroup,-,Sorghum SAF MS00666,-,-,"May 29, 2024","May 31, 2024"
,311,Sorghum,No Germplasm Type,TPP00390,Sorghum SAF CIMMYT TPP00390,-,CIMMYT,Tamerlane Nas,Funded,CGIAR,Category 4: Late Testing,-,Sorghum CIMMYT BP00149,ERS,ADCIN ESA sorghum breeding workgroup,-,Sorghum SAF MS00662,-,-,"May 30, 2024","May 31, 2024"
,316,Sorghum,No Germplasm Type,TPP00393,Sorghum SAF CIMMYT TPP00393,-,CIMMYT,Tamerlane Nas,Funded,CGIAR,-,-,Sorghum CIMMYT BP00150,HWS,ADCIN ESA sorghum breeding workgroup,-,Sorghum SAF MS00918,-,-,"May 30, 2024","March 23, 2026"
,318,Sorghum,No Germplasm Type,TPP00395,Sorghum SAF CIMMYT TPP00395,-,CIMMYT,Tamerlane Nas,Funded,CGIAR,Category 4: Late Testing,-,Sorghum CIMMYT BP00151,HRS,ADCIN ESA sorghum breeding workgroup,-,Sorghum SAF MS00664,-,-,"May 30, 2024","May 31, 2024"
,314,Sorghum,No Germplasm Type,TPP00401,Sorghum SAF CIMMYT TPP00401,-,CIMMYT,Tamerlane Nas,Funded,CGIAR,Category 4: Late Testing,-,Sorghum CIMMYT BP00149,ERS,ADCIN ESA sorghum breeding workgroup,-,Sorghum SAF MS00920,-,-,"May 30, 2024","May 31, 2024"
,339,Sorghum,No Germplasm Type,TPP01045,Sorghum SAF ICRISAT TPP01045,-,ICRISAT,Bright Jumbo,Funded,CGIAR,Category 4: Late Testing,-,Sorghum ICRISAT BP00180,BP2,ICRISAT-SA-Sorghum Breeding,-,Sorghum SAF MS00666,-,-,"March 18, 2026","March 23, 2026"
,340,Sorghum,No Germplasm Type,TPP01046,Sorghum SAF ICRISAT TPP01046,-,ICRISAT,Bright Jumbo,Funded,CGIAR,Category 4: Late Testing,-,Sorghum ICRISAT BP00180,BP2,ICRISAT-SA-Sorghum Breeding,-,Sorghum SAF MS00662,-,-,"March 18, 2026","March 23, 2026"
,341,Sorghum,No Germplasm Type,TPP01047,Sorghum SAF ICRISAT TPP01047,-,ICRISAT,Bright Jumbo,Funded,CGIAR,Category 4: Late Testing,-,Sorghum ICRISAT BP00180,BP2,ICRISAT-SA-Sorghum Breeding,-,Sorghum SAF MS00664,-,-,"March 18, 2026","March 23, 2026"
,342,Sorghum,No Germplasm Type,TPP01048,Sorghum SAF ICRISAT TPP01048,-,ICRISAT,Bright Jumbo,Funded,CGIAR,Category 4: Late Testing,-,Sorghum ICRISAT BP00180,BP2,ICRISAT-SA-Sorghum Breeding,-,Sorghum SAF MS00920,-,-,"March 18, 2026","March 23, 2026"
,320,Sorghum,No Germplasm Type,TPP00809,Sorghum WAF CIMMYT TPP00809,-,CIMMYT,Baloua Nebie,Funded,CGIAR,Category 1: Full,-,Sorghum CIMMYT BP00225,SDWSL,ADCIN WCA sorghum breeding group,-,Sorghum WAF MS00673,Sorghum OPV's WCA dual purpose food & feed white grain Sahel rainfed extra early,-,"March 04, 2025","March 04, 2025"
,321,Sorghum,No Germplasm Type,TPP00810,Sorghum WAF CIMMYT TPP00810,-,CIMMYT,Baloua Nebie,Funded,CGIAR,Category 1: Full,-,Sorghum CIMMYT BP00226,MDWSL,ADCIN WCA sorghum breeding group,-,Sorghum WAF MS00400,Sorghum OPV's food & feed white cream yellow Sudan rainfed medium,-,"March 04, 2025","March 04, 2025"
,327,Sorghum,No Germplasm Type,TPP00811,Sorghum WAF CIMMYT TPP00811,-,CIMMYT,Baloua Nebie,Funded,CGIAR,Category 1: Full,-,Sorghum CIMMYT BP00227,MDRSL,ADCIN WCA sorghum breeding group,-,Sorghum WAF MS00681,Sorghum OPV's food & local brewing red rainfed medium maturity,-,"March 04, 2025","March 04, 2025"
,328,Sorghum,No Germplasm Type,TPP00812,Sorghum WAF CIMMYT TPP00812,-,CIMMYT,Baloua Nebie,Funded,CGIAR,Category 1: Full,-,Sorghum CIMMYT BP00228,SDWSH,ADCIN WCA sorghum breeding group,-,Sorghum WAF MS00674,"Sorghum hybrid food & feed white, cream & yellow Sahel, rainfed, early",-,"March 04, 2025","March 04, 2025"
,329,Sorghum,No Germplasm Type,TPP00813,Sorghum WAF CIMMYT TPP00813,-,CIMMYT,Baloua Nebie,Funded,CGIAR,Category 1: Full,-,Sorghum CIMMYT BP00229,MDWSH,ADCIN WCA sorghum breeding group,-,Sorghum WAF MS00675,"Sorghum hybrid food & feed white cream & yellow Sudan, rainfed mid",-,"March 04, 2025","March 04, 2025"
,322,Sorghum,No Germplasm Type,TPP00814,Sorghum WAF CIMMYT TPP00814,-,CIMMYT,Baloua Nebie,Funded,CGIAR,Category 2: Early and Late Testing,-,Sorghum CIMMYT BP00226,MDWSL,ADCIN WCA sorghum breeding group,-,Sorghum WAF MS00678,"Sorghum OPV's WCA food processing & poultry feed, white yellow & cream, Sudan, rainfed, medium",-,"March 04, 2025","March 04, 2025"
,325,Sorghum,No Germplasm Type,TPP01042,Sorghum WAF CIMMYT TPP01042,-,CIMMYT,Baloua Nebie,Funded,CGIAR,Category 2: Early and Late Testing,-,Sorghum CIMMYT BP00226,MDWSL,ADCIN WCA sorghum breeding group,-,Sorghum WAF MS00677,-,-,"March 18, 2026","March 18, 2026"
,334,Sorghum,No Germplasm Type,TPP01036,Sorghum WAF ICRISAT TPP01036,-,ICRISAT,Bright Jumbo,Funded,CGIAR,-,-,Sorghum ICRISAT BP00176,BP3,ICRISAT-SA-Sorghum Breeding,-,Sorghum WAF MS00400,-,-,"March 18, 2026","March 23, 2026"
,330,Sorghum,No Germplasm Type,TPP01037,Sorghum WAF ICRISAT TPP01037,-,ICRISAT,Bright Jumbo,Funded,CGIAR,Category 1: Full,-,Sorghum ICRISAT BP00174,BP1,ICRISAT-SA-Sorghum Breeding,-,Sorghum WAF MS00673,-,-,"March 18, 2026","March 23, 2026"
,332,Sorghum,No Germplasm Type,TPP01038,Sorghum WAF ICRISAT TPP01038,-,ICRISAT,Bright Jumbo,Funded,CGIAR,Category 1: Full,-,Sorghum ICRISAT BP00176,BP3,ICRISAT-SA-Sorghum Breeding,-,Sorghum WAF MS00681,-,-,"March 18, 2026","March 23, 2026"
,333,Sorghum,No Germplasm Type,TPP01039,Sorghum WAF ICRISAT TPP01039,-,ICRISAT,Bright Jumbo,Funded,CGIAR,Category 1: Full,-,Sorghum ICRISAT BP00176,BP3,ICRISAT-SA-Sorghum Breeding,-,Sorghum WAF MS00674,-,-,"March 18, 2026","March 23, 2026"
,336,Sorghum,No Germplasm Type,TPP01040,Sorghum WAF ICRISAT TPP01040,-,ICRISAT,Bright Jumbo,Funded,CGIAR,Category 1: Full,-,Sorghum ICRISAT BP00180,BP2,ICRISAT-SA-Sorghum Breeding,-,Sorghum WAF MS00675,-,-,"March 18, 2026","March 23, 2026"
